,Title,Published_date,Views,Likes,Favorite,Comments,Month
69,TSP's Rabish Ki Report | Ep 13 : लौंडों का Lockdown,2020-05-27,3717125,219016,0,9553,May
70,Ghar Baithe Lakhpati | KBC Spoof | TSP's Bade Chote,2020-05-15,3114312,166999,0,6162,May
71,TSP's Baap Baap Hota Hai | Ep06 : Baap aur Corona,2020-05-11,2515110,125256,0,2360,May
72,TSP's Baba Calling Bhai | Daaru Hai Kya?,2020-05-06,318640,17000,0,817,May
73,TSP’s Lockdown Wala Match,2020-05-02,840528,32317,0,1545,May
74,TSP’s YouTubers In Lockdown,2020-04-24,690820,40490,0,2183,Apr
75,"TSP’s Celebrities During Lockdown ft. Salman, Virat, Nawaz, Karan & Akshay",2020-04-14,1506022,74124,0,3435,Apr
76,TSP’s Hum Tum | Ep06 : Road Trip,2020-03-13,4499579,158185,0,3079,Mar
77,TSP's Nawab Sahab | खोज का बोझ,2020-03-04,2845660,121393,0,2734,Mar
78,E06: My Pregnant Girlfriend | TSP's Awkward Conversations With Girlfriend | TSP Originals,2020-02-14,6625319,233164,0,10172,Feb
79,"Yaar Di Doli | Wedding Anthem 2020 | Featuring Burrah, Shreya Mehta, Ankur, Naser, ShowKidd",2020-02-10,203679,7056,0,225,Feb
80,E05: Moving In ft. Parents | TSP's Awkward Conversations With Girlfriend | TSP Originals,2020-02-07,5804068,193704,0,7075,Feb
81,TSP's Bhartiya YouTube Sena,2020-02-04,2176893,79864,0,5026,Feb
82,E04: Bumping Into My Ex | Awkward Conversations With Girlfriend | TSP Originals,2020-01-31,6591454,208356,0,8134,Jan
83,TSP’s Rabish Ki Report | Ep 12: रबिश पहुंचे शादी में,2020-01-28,5602268,221662,0,12711,Jan
84,Awkward Conversations With Girlfriend | E03: Password | TSP Originals,2020-01-24,6946637,198709,0,3466,Jan
85,Awkward Conversations With Girlfriend | E02: My Girlfriend’s Hot Friend | TSP Originals,2020-01-17,5800527,173125,0,4758,Jan
86,TSP's नानी की कहानी | भंड लकड़हारे,2020-01-14,1464996,74450,0,3721,Jan
87,Awkward Conversations With Girlfriend | E01: Porn | TSP Originals,2020-01-10,8076586,314642,0,8730,Jan
88,Awkward Conversations With Girlfriend Trailer | TSP Originals,2020-01-06,1319059,55946,0,1530,Jan
89,TSP’s Rabish Ki Report | Ep 12 : Rabish Ki Rail Yatra,2019-12-28,9155485,343154,0,13912,Dec
90,TSP's Rabish Ki Report | Ep 11: Boys Hostel - Hostel Daze Special,2019-12-23,5320276,214741,0,7996,Dec
91,"Big Boss का पर्दाफाश ft. Badri Chavan, Jizzy & Parul Gulati",2019-12-14,1982548,68928,0,2153,Dec
92,TSP's School Diaries | Class में नई लड़की | Children's Day Special,2019-11-14,8334320,316595,0,11808,Nov
