,Title,Published_date,Views,Likes,Favorite,Comments,Month
98,Alright! | Journey Of A Relationship Ft. Ambrish Verma & Shreya Gupto,2021-02-18,1198143,55880,0,971,Feb
99,Couple Goals | Ep3/3: Couple & House Party | Mini Web Series | Nikhil Vijay & Kritika | Alright!,2021-02-17,997669,45500,0,1046,Feb
100,Couple Goals | Ep2/3: Couple & In Laws | Mini Web Series | Nikhil Vijay & Kritika Avasthi | Alright!,2021-02-15,1215803,53836,0,1653,Feb
101,Couple Goals | Ep1/3: Couple vs Couple | Mini Web Series | Nikhil Vijay & Kritika Avasthi | Alright!,2021-02-13,2186933,86549,0,1664,Feb
102,Couple Goals - Official Trailer | Mini Web Series | Nikhil Vijay & Kritika Avasthi | Alright!,2021-02-12,408149,19522,0,401,Feb
103,"Roomies | Ep3/3: LANDLORD | Mini Web Series | Gagan Arora, Nikhil Vijay, Badri & Anushka |Alright!",2021-02-10,3942275,154785,0,3695,Feb
104,"Roomies | Ep2/3: GIRLFRIEND | Mini Web Series | Gagan Arora, Nikhil Vijay, Badri & Anushka |Alright!",2021-02-07,3922708,133798,0,2672,Feb
105,"Roomies | Ep1/3: RATION | Mini Web Series | Gagan Arora, Nikhil Vijay, Badri & Anushka | Alright!",2021-02-05,6731361,296314,0,3524,Feb
106,"Roomies - Official Trailer | Mini Web Series | Gagan Arora, Nikhil Vijay, Badri & Anushka | Alright!",2021-02-03,855257,38794,0,1683,Feb
107,Alright! | Office After Lockdown Ft. Kritika Avasthi & Deepansha Dhingra,2021-01-27,1333833,16258,0,2730,Jan
108,Pehla Pehla | Ep 3/3: OFFICE | Anushka Kaushik & Adarsh Gourav| Mini Web Series | Alright!,2021-01-18,1047080,55996,0,5240,Jan
109,Pehla Pehla | Ep 2/3: PYAAR | Anushka Kaushik & Adarsh Gourav | Mini Web Series | Alright!,2021-01-15,1363681,61929,0,4997,Jan
110,"Pehla Pehla | Ep 1/3: BIKE | Anushka Kaushik, Adarsh Gourav | Mini Web Series | Alright!",2021-01-12,1911949,96479,0,5122,Jan
111,"Pehla Pehla - Official Trailer | Mini Web Series | Anushka Kaushik, Adarsh Gourav & Ritik | Alright!",2021-01-09,264145,13097,0,1458,Jan
112,"Alright! | Mumbai Guy in Delhi Winters Ft. Keshav Sadhna, Mehek Mehra & Vikhyat Gulati",2021-01-04,3155556,29313,0,2430,Jan
113,Alright! | Boys After Breakup | Ft. Anushka Kaushik & Abhishek Kapoor,2020-12-28,2224040,108593,0,4499,Dec
114,Alright! | Senior vs Junior : College Diaries |  Ft. Abhinav Anand & Abhishek Kapoor,2020-12-23,1520811,40644,0,706,Dec
