,Title,Published_date,Views,Likes,Favorite,Comments,Month
82,Long Distance Relationship Ft. Anushka Kaushik & Keshav Sadhna | Hasley India,2020-04-10,1177298,56467,0,1164,Apr
83,"Indians During Lockdown Ft. Gima Ashi, Keshav & Rishabh | Hasley India",2020-04-01,849004,61940,0,916,Apr
84,Honest Bollywood House Party Ft. Virat Kohli | Hasley India,2020-03-21,731521,35033,0,855,Mar
85,"Date With Your Teacher Ft. Keshav Sadhna, Shreya Singh | Hasley India",2020-03-07,3622162,161980,0,4442,Mar
86,"The First Kiss Ft. Anushka Kaushik, Abhishek & Usman | Hasley India",2020-02-29,2609530,104431,0,1837,Feb
87,"Date With Your Boss Ft. Anushka Kaushik, Abhishek | Hasley India Originals!",2020-02-22,5512161,206096,0,3766,Feb
88,"When You Date The Wrong Girl Ft. Rashmeet Kaur, Abhishek & Srishti | Hasley India",2020-02-14,2456508,101562,0,2022,Feb
89,"When Your Roommate Starts Dating Ft. Anushka Kaushik, Rashmeet Kaur | Hasley India",2020-02-10,3963865,140936,0,1668,Feb
90,Life Of A TikTok Star Ft. Abhinav Anand (Bade) & Abhishek kapoor,2020-01-25,3176064,141789,0,2166,Jan
91,"Types Of Sleepers Ft. Rishhsome, Keshav Sadhna & Rashmeet Kaur | Hasley India",2020-01-08,475407,19814,0,182,Jan
92,Dating Sister's BFF - EP 03 Ft. Keshav Sadhna & Rashmeet Kaur | Hasley India,2019-12-31,2778637,108653,0,1118,Dec
93,"Girlfriend Ki Shaadi Ft. Abhishek, Ankur & Tared | Hasley India",2019-12-23,355275,16667,0,283,Dec
94,"Dating Sister's BFF - EP 02 Ft. Keshav Sadhna, Rashmeet Kaur",2019-12-05,4692395,170907,0,5904,Dec
95,"Dating Sister's BFF - EP 01 Ft. Keshav Sadana, Rashmeet Kaur | Hasley India",2019-11-27,5336707,166875,0,3311,Nov
96,"When Your Girlfriend Has A Male Bestfriend Ft. Keshav Sadhna, Anushka & Abhishek Kapoor",2019-11-08,2684007,121260,0,2172,Nov
97,"When Your Parents Are Not At Home Ft. Pataakha, Anushka & Anmol  Hasley India",2019-10-18,1002797,44891,0,734,Oct
98,When Mom Finds Your Condom | Hasley India,2019-10-07,3169463,103369,0,1038,Oct
99,"Types of people Crossing Roads Ft. Ambrish Verma, Abhishek| Hasley India",2019-09-16,859017,34944,0,563,Sep
100,"When Delhi Guy Visits Mumbai Ft. Rishhsome, Viraj Ghelani | Hasley India",2019-09-05,2253297,96210,0,1752,Sep
101,"Single Or Relationship Ft. Viraj Ghehlani, Anushka Kaushik | Hasley India",2019-08-27,1720439,84131,0,2363,Aug
102,"When UP Guy Visits Delhi Ft. Ambrish Verma, Yukti Arora | Hasley India",2019-08-14,5016262,174790,0,4024,Aug
103,Kahani Office Ki Ft. Ambrish Verma| Hasley India,2019-08-03,1415334,49205,0,710,Aug
104,Life Of A Phone Ft. Nikhil Vijay & Anushka Kaushik | Hasley India,2019-07-24,2288202,95418,0,1508,Jul
105,Guys In A College Ft. Nikhil Vijay & Ambrish Verma | Hasley India,2019-06-29,4078010,132873,0,1672,Jun
106,When You Are Home Alone Ft. Viraj Ghelani | FilterCopy | Hasley India,2019-06-17,2903617,100403,0,1955,Jun
107,When Your Best Friend Dates Your EX Ft. Millind Gaba | Hasley India,2019-06-08,2710632,118739,0,3836,Jun
108,"When Mumbai Guy Visits Delhi Ft. Anmol Sachar, Rishhsome | Hasley India",2019-05-07,3495004,124904,0,4603,May
109,Every Brother Ever | Hasley India,2019-04-16,417602,20018,0,317,Apr
110,Indian Weddings Be Like Ft. Rishhsome & Aka Naach| The Hasley India,2019-03-15,365611,19377,0,358,Mar
111,Students During Exams | School Days,2019-03-01,782940,29976,0,522,Mar
112,If Bollywood Celebrities Were Shopkeepers | Hasley India,2019-02-18,442590,20635,0,1025,Feb
113,Indians And School Bus | School Days,2019-01-22,1302606,50678,0,1220,Jan
114,Types Of People At Stationery Shop | School Days,2018-12-24,2646897,89043,0,1319,Dec
115,Types of Indian House-wives Ft. Twarita Nagar | Hasley Originals,2018-12-17,776247,52900,0,1396,Dec
116,Police and Indians | Hasley India,2018-11-17,966158,40064,0,861,Nov
117,"The Diwali Song Ft. Ashish Chanchlani, Slayy Point, Aksh Baghla | Tera Ghata Parody",2018-11-06,538492,32753,0,1222,Nov
118,IF YOUTUBE WERE AN INDIAN SHOP | HASLEY INDIA,2018-10-29,1475152,65701,0,1313,Oct
119,Every Indian Property Dealer Ever | Hasley India,2018-10-22,821290,24363,0,536,Oct
120,What If Delhi & Mumbai Goes On A Date Ft. Captain Nick | Hasley India,2018-10-04,574639,31187,0,1639,Oct
121,Being Single Ft. Tinder | Hasley India,2018-09-15,1892589,69520,0,1673,Sep
122,Types Of People At A House Party Ft. Ashish Chanchlani | Kunal Chabbria | Akash Dodeja,2018-09-08,18008823,651383,0,6483,Sep
123,Indians & Parking Ft. Millind Gaba | Parking Ka Kalesh | Hasley India,2018-08-28,1620330,58989,0,1158,Aug
124,INDIANS IN SHOWER | Hasley India,2018-08-20,689669,30356,0,735,Aug
125,"Types Of Boyfriends On Phone ft. Rishhsome, Shubham Gaur & Abhishek Kapoor| Hasley India",2018-08-06,516916,24123,0,512,Aug
126,THINGS GIRLS WITH MAKE UP ARE TIRED OF HEARING | HASLEY INDIA,2018-07-17,134626,6092,0,251,Jul
127,TYPES OF PEOPLE IN AN OFFICE | HASLEY INDIA,2018-07-03,1321600,28206,0,1027,Jul
128,THE PERFECT HUSBAND | Hasley India,2018-06-22,1173463,30634,0,848,Jun
129,THINGS GUJARATIS ARE TIRED OF HEARING FT. Tathaagat | Hasley India,2018-06-11,947792,28102,0,1354,Jun
130,The Sanskari Ladka FT. Old Delhi Films | Hasley India,2018-05-30,845152,20594,0,387,May
131,A Day In A Life Of A Anurag Kashyap Movie | Hasley India,2018-05-22,946783,25344,0,1241,May
132,TYPES OF PEOPLE DURING IPL | Hasley India,2018-05-07,1077455,32358,0,1196,May
