,Title,Published_date,Views,Favorite,Comments,Month
275,Less marks in Boards/ JEE mains | 60% better than 95% ? | My best video,2019-05-10,942147,0,4369,May
276,"Class 12 Boards Rechecking, Re-evaluation, Improvement Exam & Compartment Exam",2019-05-07,170950,0,1261,May
277,"CBSE Class 10 Result - ""Chotta Dhattarwal""",2019-05-06,2025970,0,4854,May
278,Class 12 RESULTS OUT | 2019,2019-05-02,148179,0,3091,May
279,Live stream continued -2,2019-05-01,50782,0,337,May
280,Live - Ask Your Doubts,2019-05-01,50967,0,279,May
281,Continued,2019-05-01,55595,0,327,May
282,Most Important Life Lesson I learnt in College | Why time flies so fast?,2019-04-27,243525,0,1588,Apr
283,Blogger : How to be a Content Writer | How to create FREE Blog,2019-04-23,592329,0,902,Apr
284,"NSUT : My College | All about NSUT/NSIT - College Life, Placements, Hostel Life",2019-04-20,785539,0,1749,Apr
285,BITSAT 2019 Preperation Tips | BITS PILANI | BITSAT OR JEE ADVANCE?,2019-04-17,431092,0,1098,Apr
286,Are you a UPSC Civil Services Aspirant ? | How to choose a Course and College for Bachelors degree?,2019-04-15,948623,0,2764,Apr
287,Should I drop 1 year for IIT-JEE preparation | Drop year for JEE MAINS | Drop or Not to Drop,2019-04-13,604437,0,1892,Apr
288,Placements at Delhi University | How to Prepare for DU College Placements and Internships,2019-04-08,357466,0,1417,Apr
289,How to choose your Career ? By Aman Dhattarwal,2019-04-05,477024,0,3510,Apr
290,6 High Salary Jobs : Earn in Lakhs without College Degree🔥,2019-04-01,1212995,0,2155,Apr
291,"Everything about Graphic Design | Best for College Students 🔥 | Salary, Tutorials, Software",2019-03-26,2193628,0,4061,Mar
292,Easy way to earn Money Online in 2019 | Freelancing,2019-03-22,728249,0,1954,Mar
293,What after Class 12th ? - How I grabbed the highest paying package | Career Options,2019-03-19,911928,0,4006,Mar
294,CBSE Class 12 Maths Exam : Student Reaction🔥 | Exam Review,2019-03-18,249289,0,1459,Mar
295,Class 12 Maths Board Exam : Last Minute Tips🔥 | How to Attempt Paper | Do's and Don't,2019-03-17,202827,0,1615,Mar
296,CBSE Class 12 Chemistry Exam : Student Reaction🔥,2019-03-12,520055,0,2276,Mar
297,Class 12 : If you think you don't have a future - Watch this video,2019-03-10,708065,0,4397,Mar
298,"CBSE Class 12 Physics Exam : Student Reaction, Paper Analysis, Review, Feedback🔥",2019-03-05,756767,0,6828,Mar
299,Class 12 English Board Exam : Student Reaction🔥,2019-03-02,507826,0,4684,Mar
300,English Board Exam : Follow these 5 tips | Class 12 and Class 10,2019-03-01,852531,0,3997,Mar
301,How to study for Class 12 Board Exams | Last minute tips,2019-02-27,601881,0,4114,Feb
302,How to Improve Handwriting under 8 minutes | 5 simple tips,2019-02-19,4889982,0,6451,Feb
303,Part-2 | Increase 4-5% - Play this game in the last 15 days | Class 12 Board Exams,2019-02-14,106595,0,722,Feb
304,Class 12 Boards : Increase 4-5% : Play This Game In Last 15 Days,2019-02-14,187851,0,851,Feb
305,How to study for Class 12 Boards ? | Toppers Daily Routine,2019-01-27,935761,0,3546,Jan
306,Class 12 Organic Chemistry Road Maps for Board Exams | Part - 3,2019-01-25,154668,0,925,Jan
307,JEE Mains 2019 Percentile System : Is my percentile good enough? | Cut-off | All doubts,2019-01-24,709166,0,1807,Jan
308,Work with me for a cause | Job offers for College Students,2019-01-22,115153,0,1062,Jan
309,Iske baad Phod Doge - Class 12 & 10 Board Exam | Motivational Video,2019-01-18,446168,0,2027,Jan
310,"Hindu College Delhi University, Review - Placements, Hostel, Societies, Fests , Cut-off",2019-01-17,279202,0,1351,Jan
311,Class 12 Practicals - Avoid These Mistakes,2019-01-12,368892,0,1294,Jan
312,What to study after January JEE Mains - BOARDS vs JEE Mains,2019-01-10,161274,0,1417,Jan
313,JEE Mains 2019 - Your Strongest Weapon | Use this in last 3 days,2019-01-06,97578,0,763,Jan
314,Class 12 Organic Chemistry Road Maps for Board Exams | Part -2,2019-01-04,171482,0,805,Jan
315,Do's & Don't for JEE MAINS EXAM DAY | NTA Official Guidelines,2019-01-03,51777,0,510,Jan
316,Organic Chemistry Road Maps/Tricks | Now learn in minutes | Class 12,2018-12-31,341680,0,1389,Dec
317,SAT Exam India | Syllabus + Study Material + Exam Date + Practice tests + Registration,2018-12-30,762998,0,2360,Dec
318,"IIIT Bangalore | Admission + Placements + Everything else | Comparison with NIT's, BITS , IIIT 's",2018-12-29,359643,0,865,Dec
319,How to Score 95% in Class 12 English Board Exam | English Sample Paper | Major Mistakes,2018-12-25,870221,0,2217,Dec
320,How to Study Abroad - Scholarships | Free Education | Cost of Living | Exams,2018-12-24,1585833,0,4552,Dec
321,CBSE Class 12 & 10 DATE SHEET | Board Exam,2018-12-23,84761,0,943,Dec
322,IIIT Hyderabad - Admission | Cut-off | Placements | Hostel | vs BITS Pilani,2018-12-23,843911,0,1729,Dec
323,500K Special | Live | Thank you Everyone,2018-12-22,51618,0,578,Dec
324,Never make these mistakes 15 days before JEE MAINS 2019 | Things to do in the last 15 days,2018-12-19,218569,0,743,Dec
325,Class 12 Boards : The Final Step - Iske Baad Top Maroge | Study Motivation Video,2018-12-17,273430,0,1503,Dec
326,How to guess MCQ Questions correctly | 8 Advanced Tips,2018-12-15,4362366,0,7381,Dec
327,The Reason for your JEE Mains and Board Exams failure - Stress/Depression,2018-12-08,147971,0,1279,Dec
328,Know your worth - Earn 1Lakh/day | Video for Class 12 Board Aspirants and College Students,2018-12-03,713765,0,5872,Dec
329,Watch this video to study 55 Hours/Week | Time Table and Productivity | Jee Mains and Boards,2018-11-23,491008,0,2641,Nov
330,Why books make you feel tired😴 - 5 Tips🔥,2018-11-10,459751,0,1823,Nov
331,Watch this video If you can't study - Class 12/10 Board Motivation,2018-11-05,1298505,0,4652,Nov
332,The Wrong Girl/Boy - Are you obsessed with her/him ?,2018-11-02,1274397,0,7117,Nov
333,🔥CBSE : Best News of the year for Class 12 & 10 | Increase in Internal Options,2018-10-26,218949,0,953,Oct
334,"Class 10 & 12 Marking Scheme and Sample Paper for ""ALL SUBJECTS"" | CBSE 2018-19 | Official",2018-10-25,55240,0,504,Oct
335,Class 12 Attendance Criteria | Reality - What to do in case of LOW ATTENDANCE,2018-10-24,98417,0,824,Oct
336,Why you can't study | Study Motivation,2018-10-20,605934,0,1601,Oct
337,CAT EXAM - How to Prepare | Online vs Offline Coaching | Study Material | Exam Schedule,2018-10-18,1736164,0,2036,Oct
338,A video for your Parents | Major Mistakes | Morning vs Night Time Study,2018-10-16,111432,0,647,Oct
339,Jee Mains Book - Chem and Maths + Other Doubts,2018-10-13,155671,0,703,Oct
340,2019 is not for NICE GUY's | Stop caring about everything,2018-10-10,334484,0,2033,Oct
341,Chemistry- Score 48 Marks without studying for JEE MAINS | Important Topics,2018-10-07,555834,0,1114,Oct
342,JEE Mains- Maths Important Topics | You don't want to miss this.,2018-10-02,715914,0,2280,Oct
343,Benefits of GATE EXAM | How to Prepare WITH or WITHOUT coaching?,2018-09-29,1991739,0,5869,Sep
344,JEE Mains Physics - Most Important and Easy Topic | Score atleast 60/120 in 1 month,2018-09-27,932530,0,1798,Sep
345,JEE Mains/Advanced - You weren't told the truth | STUDY THESE BOOKS,2018-09-25,1396724,0,4319,Sep
346,Executive MBA | Avg Pkg:15-22lakh | Eligibility | Admission | Top Colleges | Fees,2018-09-21,227323,0,697,Sep
347,QnA | How to Convince Parents for your Dreams |  Break up's | Time Table | UPSC with graduation,2018-09-07,56667,0,532,Sep
348,Story of my Subscriber | 15/120 to 115/120 | Are your scores not matching your Hard Work?,2018-09-04,384899,0,1488,Sep
349,College - My Morning Routine | 4AM - 9AM,2018-08-31,1393870,0,2871,Aug
350,Are you getting distracted by GIRLS/BOYS? | My Solution | Motivational Video,2018-08-24,1382441,0,5756,Aug
351,Phone Addiction | How I fight Phone Addiction ?,2018-08-21,805177,0,3165,Aug
352,Power of Subconscious | An Important lesson to learn,2018-08-16,253186,0,1135,Aug
353,How long should a STUDY BREAK be ? Recreation Time |,2018-08-13,147557,0,645,Aug
354,The Power of Self Talk | Aman Dhattarwal,2018-08-12,312448,0,1372,Aug
355,"How to Score good in First Semester of College | Benefits of Good Percentage for GATE,MBA, Post Grad",2018-08-10,850078,0,2106,Aug
356,Are you using your Most Powerful Weapon | Only for Dream Conquerors,2018-08-09,234608,0,1218,Aug
357,"Business Start-Up guide for Students | Entrepreneurship Myths, Do's and Don't",2018-08-04,659715,0,1516,Aug
358,I received a Black Box from YOUTUBE 🔥🔥,2018-08-03,58194,0,752,Aug
359,Class 12 Chemistry in 4 months | Solid Strategy | DPS RKP | NSITian,2018-08-02,804506,0,3506,Aug
360,"Comparing Power and Comparing Fractions | SSC, BANK PO, NTSE, CSAT, CAT | Vedic Maths",2018-08-01,24329,0,158,Aug
361,Important Lecture - Building Simple Layout + CSS Box Model | Web Design and Development,2018-07-31,63408,0,313,Jul
362,"5 minute Recipe for Hostlers, PG Students and Future Husbands",2018-07-29,613619,0,1814,Jul
363,"Do this when you are bored, lazy,frustrated  | My 5 ways | Tried and Tested",2018-07-28,357040,0,1449,Jul
364,Color Coding + Classes and Id's : Web Design and Web Development | WDD5,2018-07-27,67426,0,219,Jul
365,"Mutiplication with numbers close to 100,1000 in 5 seconds | SSC, Bank PO, MBA, NTSE, CSAT",2018-07-26,46248,0,323,Jul
366,My Study Plan : Class 12 Boards Vs JEE Mains | 35-40 Hours/Week,2018-07-25,235127,0,741,Jul
367,My FIRST DAY of COLLEGE,2018-07-24,328614,0,874,Jul
368,Starting with CSS3 | Web Design and Development | WDD4,2018-07-23,84897,0,310,Jul
369,"SEXTORTION, SEXTING - You can be next | Do's and Don't | Be safe",2018-07-22,1153855,0,2818,Jul
370,"Ab Ye karke dikhao - Tricks for SSC, CAT, Bank PO etc",2018-07-21,57753,0,496,Jul
371,Adding Image and HyperLink to our First WebPage | WDD-3,2018-07-19,91196,0,414,Jul
372,5 Books that Changed my Student Life | Life Lessons that should have been taught in School,2018-07-18,449965,0,1209,Jul
373,"How to finance your MBA? Top B-schools Placements, Fees | Difference b/w MBA and PGDM",2018-07-17,434589,0,639,Jul
374,Develop your 1st Webpage in 15 minutes | Starting with HTML | WDD-2,2018-07-17,199389,0,607,Jul
375,College Guide: Personality development | Body Language | Communication Skills | Full Course,2018-07-16,337682,0,1026,Jul
376,Web Design and Development | HTML Course for beginners | In Hindi,2018-07-15,450332,0,1216,Jul
377,Engineering- My 3 Years of College Life in 5 minute Video,2018-07-14,499069,0,1014,Jul
378,5 Reasons to do MBA | 4 Myths about MBA | MBA Series Part 1,2018-07-13,753770,0,1787,Jul
379,Relationships and Seniors | Do's and Don't for College Freshers,2018-07-12,1003730,0,2734,Jul
380,"Fill this Form - Lectures And Future Uploads, Mac Discount",2018-07-10,62881,0,439,Jul
381,US Hegemony In World Politics Part 3  | 9/11 and Iraq Invasion | Class 12 Polity,2018-07-10,100948,0,1442,Jul
382,How 4 Hour Sleep increased my Performance and Efficiency | Just Sharing Past 2 Years of Experience,2018-07-09,2392314,0,6371,Jul
383,After Btech- MBA VS MTECH VS MS |  Part 4,2018-07-08,902863,0,3877,Jul
384,US Hegemony in World Politics Part 2 | Clinton Years | Class 12 Political Science,2018-07-08,142670,0,982,Jul
385,"BREAKING NEWS: JEE MAINS, NEET : TWICE A YEAR | NEW RULES | OFFICIAL",2018-07-07,80961,0,746,Jul
386,US Hegemony in World Politics Part 1,2018-07-07,273468,0,1896,Jul
387,2 things I learnt in 3 years of College | Friends and Haters,2018-07-06,450324,0,2546,Jul
388,Earn Rs 2lakh per month | Any Btech College | Any Branch | How to get into Product Based Companies,2018-07-05,802685,0,2704,Jul
389,Why Dream Companies  won't come to your college | After Btech - Part 1,2018-07-03,219784,0,662,Jul
390,Ragging in College and Schools | How to be Safe | IT STILL HAPPENS?,2018-07-02,1058480,0,2923,Jul
391,My YouTube Earnings Revealed | Future Plans | QNA - Episode 1,2018-07-01,690019,0,2247,Jul
392,How to grab DREAM Placements in Software Companies | For All Branches | Step by Step Guidance,2018-06-30,314136,0,1306,Jun
393,How to Grab Rs 1 Crore Placement | Placement Procedure for Tech Companies |,2018-06-29,598935,0,1663,Jun
394,Watch this before buying a LAPTOP for College | Major things you should know before buying laptop,2018-06-28,375657,0,1370,Jun
395,10 Things Every New Hosteler Must Buy | Things you find in a Hostelers Room,2018-06-27,524562,0,1434,Jun
396,6 things I wish someone told me in First Year,2018-06-26,1664325,0,2928,Jun
397,College Shopping | What all things to buy for College,2018-06-25,1454924,0,2728,Jun
398,My New BEAST PC,2018-06-24,122450,0,536,Jun
399,How to study for Class 10 Maths | Full Year Time Table and Test Series,2018-06-23,358347,0,1407,Jun
400,How to prepare for Civil Services after Class 12 | Part-2,2018-06-19,322694,0,867,Jun
401,How to Prepare for Civil Services after Class 12 | Part 1,2018-06-17,1438842,0,2910,Jun
402,IIT JEE Advanced Ranking BLUNDER | Full Analysis | New Exam Pattern | Easier Paper From Next Year,2018-06-17,44924,0,322,Jun
403,JAC Delhi 2018 | Counselling Procedure | Detailed Analysis,2018-06-16,82233,0,375,Jun
404,"Don't be a GADHA | Study less, Score More | My Master Piece",2018-06-15,1243015,0,2898,Jun
405,IIIT Delhi | One of the Best | Is NSIT/DTU better ?,2018-06-14,290068,0,992,Jun
406,Maharaja Agrasen College - IPU | MAIT | IP University | Is it a good college?,2018-06-13,163448,0,749,Jun
407,PEC Chandigarh | Punjab Engineering College | PEC vs Thapar,2018-06-11,208247,0,1057,Jun
408,Topper's Fraud Strategy | Don't follow them blindly | Class 10 & 12,2018-06-11,80803,0,528,Jun
409,"""College"" OR ""Branch"" for Engineering | Which one to prefer ?",2018-06-08,331143,0,990,Jun
410,Get IIT/IISc after BSc  | Joint Admission Test for MSc | JAM,2018-06-05,537749,0,2645,Jun
411,BCA v/s BSc Computer Science | Detailed Analysis,2018-06-04,804033,0,1892,Jun
412,CBSE RECHECKING BOARD COPY 2018 | RE-EVALUATION | SHOULD YOU APPLY? | MARKS DECREASE ?,2018-06-04,204888,0,1616,Jun
413,ISRO Scientist | How to become Scientist in ISRO,2018-06-03,1164809,0,4736,Jun
414,How to overcome Failure | Turn your failure into success | How to find your passion,2018-06-02,103529,0,595,Jun
415,Less marks in boards | 60% better than 95% ? | My best video,2018-05-31,870593,0,7320,May
416,Bsc Mathematics Career Opportunities | 100+ Career Options,2018-05-30,820525,0,1487,May
417,BSc Chemistry Career Options | 100+ Career Options,2018-05-30,956690,0,1966,May
418,BSc Computer Science | Course Structure | Career Opportunities | 20+ career options after BSc CS,2018-05-27,754512,0,1974,May
419,CBSE Class 12 Result | Tell me your Score | 5 ways to access result,2018-05-26,41410,0,757,May
420,BSc Physics  | Top 10 Colleges | Career Opportunities | Courses after BSc and MSc | Everything,2018-05-24,387247,0,1400,May
421,BCA | Career Opportunities | Admission | What to do after BCA | Everything about BCA,2018-05-19,875684,0,3378,May
422,Career Options After Class 12 Science | Medical | Non-medical | Government Sector,2018-04-25,1039348,0,3586,Apr
423,Should I drop 1 year for IIT JEE preparation | Drop Year for JEE MAINS | Drop or Not to Drop,2018-04-19,273951,0,1482,Apr
424,RV COLLEGE OF ENGINEERING | COMEDK ADMISSION | PLACEMENTS | CUT OFF | HOSTEL | FACULTY | CAMPUS,2018-04-16,402077,0,1977,Apr
425,USIT - IP UNIVERSITY | PLACEMENT | ADMISSION | EVERYTHING,2018-04-11,274690,0,1609,Apr
426,NIT WARANGAL | PLACEMENTS | CUT OFF | VS BITS PILANI VS IIIT HYDERABAD,2018-04-09,256633,0,1414,Apr
427,NSUT VS DTU | Who wins ? | College Admission -2,2018-03-30,348223,0,1831,Mar
428,"BIT Mesra | Admission , Cut-offs, Ranking , Faculties, Placements | College Admission -1",2018-03-28,348503,0,2371,Mar
429,JEE MAINS | LAST 10 DAYS STRATEGY | MAJOR MISTAKES,2018-03-24,145847,0,780,Mar
430,Maths Board | Students Reaction | Class 12,2018-03-21,1239895,0,1596,Mar
431,Score 100 | MATHS Test Series PDF | Class 12 |,2018-03-16,69978,0,328,Mar
432,Last Minute Tips | Class 12 Boards | CS Notes | Invisible Man,2018-02-28,71065,0,655,Feb
433,"Avoid these ""mistakes"" in Class 12 Boards",2018-02-28,105785,0,903,Feb
434,100000 Count Down Subscribers,2018-02-23,71970,0,1366,Feb
435,End of Bipolarity | Chapter -2 | Gorbachev and Disintegration | Part 2,2018-02-09,175324,0,734,Feb
436,End of Bipolarity | Chapter-2 | What is Soviet System | Part-1,2018-02-09,360299,0,877,Feb
437,Contemporary World Politics | Class 12 | Cold War Era | Part -2,2018-02-06,241470,0,977,Feb
438,Positive Thinking and Procrastination Motivation Video | Class 12,2017-12-18,62908,0,377,Dec
439,Cold War Era | Contemporary World Politics | Class 12 | Part (1/2),2017-10-29,751447,0,1931,Oct
440,How to study for Class 12th Boards?| Last Min Tips| Mistakes to Avoid  | DPS RK Puram,2017-02-11,1193870,0,3199,Feb
441,How to study for class 12th boards?|DPS RK PURAM|Subject wise Tips|Science Stream,2017-02-01,716305,0,2719,Feb
442,Thought For Food Challenge: The Green Kart Team,2017-01-15,16005,0,24,Jan
443,How to score 95% in English | Tips and Tricks | Exclusive,2016-12-31,974505,0,801,Dec
444,"The Real Dangal ""Geeta Phogat"" FIGHT COMPILATION (Inspirational Video)",2016-12-28,78051,0,36,Dec
445,How to Memorize fast and easily?,2016-12-28,260918,0,338,Dec
446,HOW TO STUDY FOR CLASS 12TH  BOARDS? (DPS RKPuram),2016-12-26,111232,0,201,Dec
447,NSIT IT -1 First year album,2016-06-04,525617,0,948,Jun
448,PERIODIC TABLE IN 2 MINUTES !!,2016-01-23,81055,0,107,Jan
449,Class 12 boards tips|How to study for boards in Jan & Feb|(DPS RK PURAM),2016-01-13,91391,0,251,Jan
450,HOW TO MANAGE TIME PROPERLY!! (DPS RK PURAM/NSIT),2015-07-22,130867,0,207,Jul
451,TIPS FOR CLASS 12 BOARD EXAM YOU SHOULD NOT MISS(DPS RK PURAM),2015-07-07,557307,0,2019,Jul
