,Title,Published_date,Views,Favorite,Comments,Month
226,Honest talk #2 | Jee Mains Last 3 months Strategy | by Aman Dhattarwal,2019-09-25,354586,0,1461,Sep
227,How to be a software engineer at Microsoft | ProInsights #3 with Aman,2019-09-23,644755,0,1782,Sep
228,"How to Convince your Parents for your passion | Society, Fight with VC 🔥 | by Aman Dhattarwal",2019-09-20,490847,0,709,Sep
229,Don't do this if you want to be BIG 🔥| by Aman Dhattarwal | Hindi,2019-09-18,324831,0,1104,Sep
230,Best Student Motivational Video 🔥| By Aman Dhattarwal | Hindi,2019-09-12,1959737,0,2542,Sep
231,How to be a software engineer at Amazon | Pro-Insights #2,2019-09-01,1019959,0,2601,Sep
232,How to get 25 hours a day | Right way to make Time Table | Motivational Video,2019-08-30,1221097,0,2555,Aug
233,Honest Talk #1 | Powerful Study Motivation for every Student,2019-08-26,1108903,0,3655,Aug
234,Create your Destiny in College | Motivational video by Aman Dhattarwal | Deen Dayal Upadhaya College,2019-08-23,286467,0,683,Aug
235,How to Study for Civil Services in College ? | Indian Foreign Services | Pro-Insights #1,2019-08-22,1444284,0,1945,Aug
236,Class 12 Chemistry Board Exam | Solid Strategy | DPS RKP | NSITian,2019-08-20,316427,0,1686,Aug
237,"Class 12 Physics in 4 months | Books, Notes, Objective Questions 2019-20",2019-08-15,527733,0,2552,Aug
238,Seminar of Dreams - By Aman Dhattarwal | Motivational Video | Hindi,2019-08-13,416645,0,1047,Aug
239,Topper's Recipe🔥 | Why you are not a Topper | Class 12,2019-08-11,707825,0,2265,Aug
240,How to study for College Placements | How to get into Product Based Companies,2019-08-07,2081547,0,4813,Aug
241,Relationships in College | Reality | How to manage study/goal and relationship,2019-08-02,545240,0,2401,Aug
242,Guaranteed JEE Mains Strategy for Droppers & Class 12 | 100/120 in Physics in 8-9months,2019-07-28,123360,0,909,Jul
243,Golden Play Button Special Part -2,2019-07-27,68680,0,206,Jul
244,How to become a YouTuber 🔥 | Golden Play Button Special,2019-07-27,88346,0,213,Jul
245,How to talk with Confidence | Personality Development | Read Body Language,2019-07-23,341091,0,1320,Jul
246,A must watch for all College Students | Reality | Relationship | Placements | Seniors,2019-07-20,687167,0,2681,Jul
247,C++ | DS | Algorithms | The Placement Course | Beginners to Advance,2019-07-18,61566,0,317,Jul
248,Part-2  | How to Start a Business during college without money ?,2019-07-12,135623,0,476,Jul
249,How To Start A Business during College Without Money ?,2019-07-12,281877,0,522,Jul
250,The Technical Placement Course for College Students | Java + Data Structures + Algorithms,2019-07-11,79762,0,411,Jul
251,Class 12 Boards Exam + JEE Mains 2020 🔥 | Last 5 month Strategy,2019-07-10,340885,0,1189,Jul
252,JEE Mains 2020 Strategy | January Exam | You don't want to miss this,2019-07-08,804531,0,1839,Jul
253,So Close ....,2019-07-02,118614,0,1337,Jul
254,Class 12 Maths in 4 months for Board Exams | Solid Strategy for New Pattern 2019-20,2019-07-01,539709,0,2463,Jul
255,How to become an Android Developer | Step by Step | Freelancing and Placement,2019-06-29,1648803,0,3204,Jun
256,Physics for JEE Mains and Advance | New Channel : Apni Kaksha,2019-06-27,75590,0,356,Jun
257,Should you apply for Hostel ? My Hostel Life,2019-06-24,582532,0,2168,Jun
258,College vs Branch Counselling🔥| Covering all Engineering Colleges,2019-06-23,225549,0,1481,Jun
259,"Watch this before buying Laptop for College 🔥 | Best Laptop between Rs 30,000 - Rs 1lac",2019-06-21,1271086,0,3465,Jun
260,"Surprise for All 🔥 | 3 New Free Courses for Placements , Board Exams, JEE Advance",2019-06-18,118703,0,2524,Jun
261,Don't be Afraid | Motivational Video by Aman Dhattarwal (Hindi),2019-06-15,182185,0,1465,Jun
262,"IIT Gandhinagar | Comparison with Top NIT's , BITS, IIIT's | Hostel Life | Placements",2019-06-13,213362,0,1487,Jun
